Venue Name,Ratings,Review Count,Primary Category,SkyTrain Station,Distance to Station,Longitude,Latitude,ID,URL,Source
Seaport City Seafood Restaurant,4.5,19,Dim Sum,Broadway-City Hall Station,111.87463419863656,-123.115152,49.263921119674905,F5wxgIiZE7LYQxgqhI483A,https://www.yelp.com/biz/seaport-city-seafood-restaurant-vancouver?adjust_creative=0_vDvM4vwmFucTxQib_w6Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0_vDvM4vwmFucTxQib_w6Q,Yelp
Saku,4.5,213,Japanese,Broadway-City Hall Station,155.32178404604716,-123.11667523250104,49.2631006,XAH2HpuUUtu7CUO26pbs4w,https://www.yelp.com/biz/saku-vancouver-8?adjust_creative=0_vDvM4vwmFucTxQib_w6Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0_vDvM4vwmFucTxQib_w6Q,Yelp
Kamei on Broadway,4.0,16,Japanese,Broadway-City Hall Station,270.9108329633122,-123.118152,49.263643,ziQqb3wVR0WHCOyFiw2XmQ,https://www.yelp.com/biz/kamei-on-broadway-vancouver-2?adjust_creative=0_vDvM4vwmFucTxQib_w6Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0_vDvM4vwmFucTxQib_w6Q,Yelp
Hokkaido Ramen Santouka,4.0,222,Noodles,Broadway-City Hall Station,168.84660693420844,-123.1168917,49.263127,nkDZY5xqihF3XtZMzzfqqg,https://www.yelp.com/biz/hokkaido-ramen-santouka-vancouver-5?adjust_creative=0_vDvM4vwmFucTxQib_w6Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0_vDvM4vwmFucTxQib_w6Q,Yelp
Lumiere Cafe,4.5,3,Cafes,Broadway-City Hall Station,108.11347753092903,-123.115865,49.263468,sKqS0SUZRtLwAr2LA3W3eg,https://www.yelp.com/biz/lumiere-cafe-vancouver-2?adjust_creative=0_vDvM4vwmFucTxQib_w6Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0_vDvM4vwmFucTxQib_w6Q,Yelp
La Taqueria Pinche Taco Shop,4.0,681,Mexican,Broadway-City Hall Station,145.07192552397487,-123.112736,49.263559,6iOAgzJ0DRZNSKA3FSrrOg,https://www.yelp.com/biz/la-taqueria-pinche-taco-shop-vancouver?adjust_creative=0_vDvM4vwmFucTxQib_w6Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0_vDvM4vwmFucTxQib_w6Q,Yelp
Heritage Asian Eatery,4.0,87,Pan Asian,Broadway-City Hall Station,155.5268273268429,-123.11247,49.26287,gdSAYWUI2MTgrk08r_OZSg,https://www.yelp.com/biz/heritage-asian-eatery-vancouver-4?adjust_creative=0_vDvM4vwmFucTxQib_w6Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0_vDvM4vwmFucTxQib_w6Q,Yelp
Marulilu Cafe,4.0,285,Cafes,Broadway-City Hall Station,53.38844625438385,-123.11415,49.26338,NensKn1MSVU_rm-1Y6WlFA,https://www.yelp.com/biz/marulilu-cafe-vancouver?adjust_creative=0_vDvM4vwmFucTxQib_w6Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0_vDvM4vwmFucTxQib_w6Q,Yelp
Alley 16,5.0,1,Barbeque,Broadway-City Hall Station,664.4387250355868,-123.11474,49.257017,Rb0S3Ep3flHbPDSb0uXK4w,https://www.yelp.com/biz/alley-16-vancouver?adjust_creative=0_vDvM4vwmFucTxQib_w6Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0_vDvM4vwmFucTxQib_w6Q,Yelp
A.Bento,4.0,24,Taiwanese,Broadway-City Hall Station,313.76306064997317,-123.118857,49.263164,y583PSvm5c6tZYmRiboYYA,https://www.yelp.com/biz/a-bento-vancouver?adjust_creative=0_vDvM4vwmFucTxQib_w6Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0_vDvM4vwmFucTxQib_w6Q,Yelp
Uma Sushi,4.5,111,Japanese,Broadway-City Hall Station,104.82593132679493,-123.1137294,49.2638048,4118Aq9LbkvUr4s719uUkA,https://www.yelp.com/biz/uma-sushi-vancouver?adjust_creative=0_vDvM4vwmFucTxQib_w6Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0_vDvM4vwmFucTxQib_w6Q,Yelp
Mr Japanese Curry,4.0,37,Japanese,Broadway-City Hall Station,105.12305988090021,-123.1137004,49.2638021,uZOaRCd8SO5FudDmqcqq1A,https://www.yelp.com/biz/mr-japanese-curry-vancouver?adjust_creative=0_vDvM4vwmFucTxQib_w6Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0_vDvM4vwmFucTxQib_w6Q,Yelp
Jollibee,3.5,26,Fast Food,Broadway-City Hall Station,47.867046119753454,-123.1151665,49.2628615714721,31ag-M_QiaycGQrvAi169w,https://www.yelp.com/biz/jollibee-vancouver-2?adjust_creative=0_vDvM4vwmFucTxQib_w6Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0_vDvM4vwmFucTxQib_w6Q,Yelp
